title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Spellbound,05/09/2016,Wobbly Duck Studios,Action;Adventure;Indie;RPG;Early Access,Single-player,565,Positive,64,56%,1,0,0
Epic Cards Battle(TCG),09/07/2015,momoStorm Entertainment,Casual;Free to Play;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements,Free to play,Mixed,47,48%,1,1,0
Spartan,02/10/2017,Sinister Cyclops Game Studio,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,42,Positive,25,72%,1,0,0
Hillbilly Apocalypse,30/11/2018,Uncle Frost Team,Action;Indie,Single-player;Full controller support;Steam Trading Cards,219,Mixed,213,63%,1,0,0
Riddlord: The Consequence,01/02/2019,Amrita Studio,Adventure;Indie,Single-player;Steam Achievements;Steam Cloud,219,Mixed,156,73%,1,1,0
Bike Rush,15/01/2018,Axyos Games,Action;Casual;Indie;Racing,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,199,Mixed,32,78%,1,0,0
Turnover,15/12/2015,Long Division LLC,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,85,Positive,20,75%,1,1,1
Evolution Planet: Gold Edition,07/07/2016,Play Wireless,Casual,Single-player;Steam Trading Cards;Steam Cloud;Steam Leaderboards,259,Positive,11,72%,1,1,1
ONRAID,18/04/2017,Pragmatix Ltd,Action;Free to Play;Indie;Massively Multiplayer;Strategy,Single-player;Multi-player;Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,Positive,716,43%,1,1,1
Ironclads 2: American Civil War,05/11/2015,Totem Games,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards,369,Mixed,13,76%,1,0,0
ReLoaded,27/07/2015,Urbanscan,Action;Adventure;RPG,Single-player;Partial Controller Support,Free to play,Mixed,15,40%,1,0,0
Niko: Through The Dream,17/07/2015,Studio Paint,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,369,Positive,12,66%,1,0,0
Bravada,22/08/2014,Interbellum team,Indie;RPG;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,340,Positive,17,52%,1,1,1
Fish Duel,26/09/2018,Chemical Bolt,Action;Casual;Indie;Massively Multiplayer;Simulation;Early Access,Multi-player;Online Multi-Player;Steam Achievements,199,Positive,32,75%,1,0,0
Red Tractor Tycoon,19/02/2019,upjers,Simulation;Early Access,Single-player;Partial Controller Support,399,Mixed,27,66%,1,0,0
Blockscape,03/07/2014,ioneo,Casual;Indie;RPG;Simulation;Strategy;Early Access,Single-player;Multi-player,369,Mixed,102,69%,1,0,0
Anamorphine,31/07/2018,Artifact 5,Adventure;Indie,Single-player;Steam Achievements;Full controller support,529,Mixed,36,61%,1,0,0
PROTOThYPE _ a love story,15/02/2017,Monkeys Tales Studio,Action;Adventure;Casual;Indie;Strategy,Single-player;Steam Achievements;Steam Trading Cards,250,Positive,10,70%,1,0,1
Dance Magic,15/02/2016,Targem Games,Action;Casual;Indie,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,369,Mixed,24,50%,1,0,0
EMPYRE: Lords of the Sea Gates,04/10/2017,Coin Operated Games,RPG,Single-player,729,Mixed,59,62%,1,0,0
Pony World 2,07/04/2017,Play Publishing,Casual;Indie;Simulation,Single-player,169,Mixed,14,71%,1,0,0
Tentacult!,23/09/2016,Salty Sloth Studios L.L.C.,Adventure;Casual;Indie,Single-player;Steam Achievements;Partial Controller Support,229,Positive,13,53%,1,1,0
Klang,22/09/2016,Tinimations,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,349,Mixed,109,63%,1,0,0
Abalone,23/04/2014,Games Up,Casual;Strategy,Single-player;Cross-Platform Multiplayer;Steam Trading Cards;Includes level editor,259,Mixed,14,78%,1,0,0
WolfWars,02/01/2015,Peter Hrdy,Casual;Indie;Simulation;Strategy;Early Access,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,125,Positive,30,40%,1,0,0
Range Day VR,09/08/2017,Invidious Studios,Action;Casual;Indie;Simulation;Early Access,Single-player,479,Mixed,31,67%,1,0,0
Parallels,13/11/2015,RisingHigh,Action;Adventure;Casual;Indie,Single-player;Steam Trading Cards,42,Mixed,11,72%,1,1,0
Asura Valley,24/01/2018,lvkeai,Adventure;Indie;RPG;Strategy,Single-player,85,Positive,28,67%,1,0,0
Last Days of Old Earth,07/06/2016,Auroch Digital,Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,619,Mixed,18,77%,1,0,0
"Love, Guitars, and the Nashville Skyline",22/11/2016,Cosmillica,Sexual Content;Nudity;Casual;Indie,Single-player;Steam Trading Cards,369,Mixed,57,52%,1,0,1
RED CUBE VR,10/05/2017,Egidijus Bachur;Bartosh Polonski;Urte Milda Sirvinskaite,Action;Adventure;Indie;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards,359,Mixed,179,55%,1,0,0
Voxel Interceptor,19/09/2017,New Atlantis Games,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,42,Positive,46,76%,1,0,0
Canadian Football 2017,26/07/2017,Canuck Play Inc.,Indie;Sports,Single-player;Local Multi-Player;Partial Controller Support,165,Mixed,17,52%,1,0,0
A Fistful of Gun,23/09/2015,FarmerGnome,Action;Indie,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,449,Mixed,43,65%,1,0,0
Last Encounter,08/05/2018,Exordium Games,Action;Indie,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,459,Positive,75,61%,1,1,0
Fall of the New Age Premium Edition,25/07/2014,Shaman Games Studio,Adventure;Casual,Single-player,319,Mixed,15,93%,1,1,1
Path of War,12/09/2016,Envision Entertainment,Free to Play;Indie;Massively Multiplayer;Strategy,Online Multi-Player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Leaderboards,Free to play,Mixed,19,84%,1,0,0
Third Front: WWII,11/05/2018,Hamsters Gaming,Indie;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,299,Mixed,36,88%,1,0,0
Frontline : Road to Moscow,08/08/2014,88mm,Strategy,Single-player,369,Mixed,15,93%,1,0,0
CUBOTS The Origins,04/08/2017,Street Lamp Games,Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards,169,Positive,14,100%,1,0,0
Off-Road Paradise: Trial 4x4,06/02/2017,Ivanovich Games,Action;Adventure;Casual;Indie;Racing;Sports,Single-player;Local Multi-Player;Full controller support;Steam Trading Cards,565,Mixed,13,100%,1,0,0
Entangled,12/09/2018,MentaLoop Games,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Cloud,Free to play,Positive,21,85%,1,0,0
Arboreal,16/07/2018,Team Nomad,Adventure;Casual;Indie;Early Access,Single-player;Full controller support,Free to play,Positive,33,100%,1,0,0
Arboreal,16/07/2018,Team Nomad,Adventure;Casual;Indie;Early Access,Single-player;Full controller support,Free to play,Positive,14,92%,1,0,0
The Wanderer,25/01/2019,Cult Software,Adventure;Strategy,Single-player;Steam Trading Cards,Free to play,Positive,37,91%,1,0,0
The Directed,07/03/2018,Magnolia Art,Casual;Free to Play;Indie,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Free to play,Positive,34,88%,1,0,0
Chester One,20/02/2017,"Brilliant Blue-G, LLC",Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Free to play,Positive,10,100%,1,0,0
UFHO2,02/06/2015,Tiny Colossus;Ciro Continisio,Indie;Strategy,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Free to play,Positive,38,97%,1,1,1
Canek: Quest for Corn [Demo],16/02/2018,Guami Games,Action;Adventure;Casual;Free to Play;Indie,Single-player;Partial Controller Support,Free to play,Positive,38,89%,1,0,0
Astroloco: Worst Contact,11/03/2016,Hungry Planet Games,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,259,Positive,15,93%,1,0,0
Caretaker Sacrifice,17/08/2016,Xiotex Studios Ltd,Action;Adventure;Indie;Early Access,Single-player;VR Support;Partial Controller Support,Free to play,Positive,29,93%,1,1,0
C. Kane,25/01/2016,Paul Harrington,RPG,Single-player;Steam Trading Cards;Partial Controller Support,Free to play,Positive,10,100%,1,1,1
Life in the Dorms,01/08/2018,Moment Games,Adventure;Indie,Single-player;Full controller support,Free to play,Positive,47,85%,1,0,0
Wizard Prison,31/10/2018,Spectrum Nox Media;Team Wizard Prison,Free to Play;Indie,Single-player,Free to play,Positive,32,90%,1,0,0
Superstatic,15/09/2015,Sleepy Studios,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Includes level editor,259,Positive,29,93%,1,0,0
Ember Strike,26/05/2016,Reentry Games,Action;Free to Play;Indie;Early Access,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,17,82%,1,0,0
Super Stone Legacy,26/05/2017,Garden Shed Studios,Action;Adventure;Indie;RPG,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,299,Positive,25,80%,1,0,0
Ship Ahoy Open BETA,16/01/2018,OKAM Studio,Action;Casual;Free to Play;Indie;Massively Multiplayer;Simulation,Single-player;Online Multi-Player,Free to play,Positive,10,90%,1,0,0
Simplex Mundi,09/09/2018,PixelKiln,Action;Adventure;Casual;Free to Play;Indie,Single-player,Free to play,Positive,38,89%,1,0,0
Mike Dies,23/02/2018,Psydra Games LLC,Violent;Gore;Action;Adventure;Indie,Single-player;Partial Controller Support,349,Positive,38,94%,1,0,0
Magic Mouse,02/03/2019,Reed Mosby;Riley Shanley;Luke Fritz;Brian Fitzgerald;Nicholas Herink;Caraline Aldis;Karena Williams;Sam Fadare;Eric Bodreau,Action;Adventure;Free to Play;Indie,Single-player,Free to play,Positive,48,81%,1,0,0
ZEscape,20/07/2018,Madhouse Software,Action;Adventure;Early Access,Online Multi-Player;Steam Achievements;Steam Cloud,439,Positive,26,84%,1,0,0
The Directed,07/03/2018,Magnolia Art,Casual;Free to Play;Indie,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Free to play,Positive,32,90%,1,0,0
